Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"ANNE BARON CASSIN DECORATIONS (ATELIERS BARON CASSIN DECORATIONS - ATELIERS BARON CASSIN, DECORATION INTERIEURE, DESIGN) (ABCD)","ANNE BARON CASSIN DECORATIONS",509553087,"Autre commerce spécialisé","N° 14 A 16 14 RUE BOULBONNE 31000 TOULOUSE","AJASSOCIÉS",morale,"Administrateur provisoire",1,2008-12-27,423719178
"ANTHONY BUISSON","",750375701,"Autre commerce spécialisé","87 CHEMIN MICHOUN 31500 TOULOUSE","Anthony Buisson",physique,"",1,2012-04-01,
"ANTIQ-PHOTO GALLERY","ANTIQ-PHOTO GALLERY",439914094,"Autre commerce spécialisé","20 RUE NEUVE 31000 TOULOUSE","Sebastien Lemagnen",physique,"Président de SAS",3,2001-07-01,
"APELLE GROUPE","APELLE GROUPE",502922420,"Autre commerce spécialisé","7 PLACE DU PRESIDENT THOMAS WOODROW WILSON 31000 TOULOUSE","Jean-michel Amor",physique,"Président de SAS",1,2008-02-05,
"ARNAUD MOLIERES (LUXURY ART INVEST)","",791639289,"Autre commerce spécialisé","52 RUE RAYMOND IV 31000 TOULOUSE","Arnaud Molieres",physique,"",1,2013-02-25,
"ART - ARTICLES RARES A TOULOUSE","ART 31",832399612,"Autre commerce spécialisé","8 RUE BOULBONNE 31000 TOULOUSE","Vincent Rieunier",physique,"Président de SAS",1,2017-09-29,
"ARTE LLOVERA","ARTE LLOVERA",938414349,"Autre commerce spécialisé","BAT N 2 CHEMINEMENT DU CLAIR BOIS 31500 TOULOUSE","Laurie-marine Llovera",physique,"Gérant",1,2024-12-09,
"ARTOPIC GALLERY","ARTOPIC GALLERY",839843802,"Autre commerce spécialisé","7 RUE DE LA BOURSE 31000 TOULOUSE","Melissa Benon",physique,"Président de SAS",1,2018-05-17,
"ARTWAVE","ARTWAVE",832506851,"Autre commerce spécialisé","EKITO 15 RUE GABRIEL PERI 31000 TOULOUSE","Anne Turlais",physique,"Président de SAS",1,2017-10-05,
"AS DISTRIBUTION","AS DISTRIBUTION",538151580,"Autre commerce spécialisé","232 AVENUE DE MURET 31300 TOULOUSE","",,"",2,2011-12-01,
"ASCO","EQUIPEMENT AUTOMOBILE FRANCAIS-EAF",329402028,"Autre commerce spécialisé","27 B AVENUE DE LYON 31500 TOULOUSE","Guy Guenoun",physique,"Président de SAS",1,1983-02-16,
"ASIANCE","ASIANCE",490704061,"Autre commerce spécialisé","32 RUE DES LOIS 31000 TOULOUSE","Christophe De renty",physique,"Gérant",1,2006-07-01,
"ASSAS JP","ASSAS JP",313455909,"Autre commerce spécialisé","28 RUE CROIX BARAGNON 31000 TOULOUSE","Angela Daraux (morales)",physique,"Gérant",2,1978-01-01,
"ATELIER 31","ATELIER 31",500841184,"Autre commerce spécialisé","31 RUE PHARAON 31000 TOULOUSE","Marie-celine Husseini (belhomme)",physique,"Liquidateur",1,2007-11-17,
"ATELIER CDES","ATELIER CDES",913943593,"Autre commerce spécialisé","9 RUE DE TAHITI 31400 TOULOUSE","Isabelle Ligneau chapelain de sereville (rancoule)",physique,"Président de SAS",1,2022-05-24,
"ATELIER SAINT ETIENNE","ATELIER SAINT ETIENNE",450038054,"Autre commerce spécialisé","27 AVENUE DU CIMETIERE 31500 TOULOUSE","Gilles Sigro (sigro)",physique,"Gérant",1,2003-09-01,
"AUDIOTROK","AUDIOTROK",501217467,"Autre commerce spécialisé","2 RUE CUJAS 31000 TOULOUSE","",,"",1,2007-12-01,
"AUX 7 CHAKRAS","AUX 7 CHAKRAS",948775978,"Autre commerce spécialisé","62 BOULEVARD LAZARE CARNOT 31000 TOULOUSE","Christelle Hideux",physique,"Gérant",1,2023-02-03,
"AVEC 2 EUROS","BONINO ZAGARRI",751453747,"Autre commerce spécialisé","46 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Gerard Zagarri",physique,"Gérant",1,2012-05-15,
"AZUR BOIS CONCEPT","AZUR BOIS CONCEPT",494228273,"Autre commerce spécialisé","33 AVENUE JEAN ZAY 31200 TOULOUSE","",,"",1,2007-02-15,
"B.A.M GALLERY","B.A.M GALLERY",479805780,"Autre commerce spécialisé","52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE","Arnaud Molieres",physique,"Gérant",1,2004-12-01,
"B.S.B HYDRO","B.S.B HYDRO",790604839,"Autre commerce spécialisé","84 RUE EDMOND ROSTAND 31200 TOULOUSE","Cedric Bannino",physique,"Gérant",1,2013-01-10,
"BAMBINOU.COM","BAMBINOU.COM",822640587,"Autre commerce spécialisé","21 RUE DE LA TRINITE 31000 TOULOUSE","Thierry Boronat",physique,"Gérant",1,2016-09-20,
"BBDIF","BBDIF",501962195,"Autre commerce spécialisé","82 ROUTE DE BAYONNE 31300 TOULOUSE","",,"",1,2007-12-01,
"BE ZEN BE VAPE","REVOLUTIONET",537565756,"Autre commerce spécialisé","73 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Nicolas Nalic",physique,"Gérant",1,2011-10-01,
"BEAUTE SANTE DU CHEVEU BSC","BEAUTE SANTE DU CHEVEU",510931298,"Autre commerce spécialisé","L'ONCOPOLE 5 AVENUE IRENE JOLIOT-CURIE 31100 TOULOUSE","Fabienne Gaubert",physique,"Gérant",1,2009-03-02,
"BEAUTY ACCESS","SARL HADJAZ",753969013,"Autre commerce spécialisé","37 RUE DES CHANGES 31000 TOULOUSE","Ali Hadjaz",physique,"Gérant",1,2012-10-01,
"BEAUX ARTS SERVICES","BOIS SERVICE",317410389,"Autre commerce spécialisé","450 AVENUE DE FRONTON 31200 TOULOUSE","",,"",3,1979-01-01,
"BERNARD MATTANA","",337947659,"Autre commerce spécialisé","57 ROUTE D'ESPAGNE 31100 TOULOUSE","Bernard Mattana",physique,"",1,1986-06-10,
"BIEN ETRE","",338069396,"Autre commerce spécialisé","54 B RUE D'ALSACE LORRAINE 31000 TOULOUSE","Bernard Fontbute",physique,"",1,1986-02-28,
"BIG BANYAN","",942033820,"Autre commerce spécialisé","10 RUE MARY ELLIS 31300 TOULOUSE","Fanny Canet",physique,"",1,2025-04-01,
"BIJOUX GHIS","BIJOUX GHIS",423869767,"Autre commerce spécialisé","11 RUE CANTEGRIL 31000 TOULOUSE","",,"",2,1999-07-01,
"BIOTEK","BIOTEK",441705852,"Autre commerce spécialisé","43 RUE SAINT ROME 31000 TOULOUSE","Juan Toribio garcia",physique,"Gérant",1,2002-04-19,
"BLANC DE FALAISE","BLANC DE FALAISE",812874758,"Autre commerce spécialisé","3 RUE PAUL VIDAL 31000 TOULOUSE","Karine Navallon",physique,"Gérant",1,2015-07-31,
"BLEU CITRON","BLEU BIJOUX",450118344,"Autre commerce spécialisé","CTRE COMMERCIAL ST GEORGES PLACE OCCITANE 31000 TOULOUSE","Delphine Auboiroux (dayre)",physique,"Gérant",3,2003-09-15,
"BLEUS DE PASTEL DE LECTOURE","BLEUS DE PASTEL DE LECTOURE",407879345,"Autre commerce spécialisé","20 RUE DE LA BOURSE 31000 TOULOUSE","Denise Lambert (simeon)",physique,"Gérant",2,1996-06-01,
"BMS (BMS)","BMS",789695145,"Autre commerce spécialisé","190 AVENUE RAYMOND NAVES 31500 TOULOUSE","Jean-michel Diener",physique,"Président de SAS",1,2012-11-22,
"BODY PIERCED","",483594107,"Autre commerce spécialisé","22 RUE DU SENECHAL 31000 TOULOUSE","Jeremy Louvrier",physique,"",1,2005-08-01,
"BOUTIQUE DU COMPOSANT","BOUTIQUE DU COMPOSANT",403280456,"Autre commerce spécialisé","30 RUE DU LANGUEDOC 31000 TOULOUSE","Francoise Dansaut",physique,"Gérant",1,1996-01-02,
"BP GALERIE","BP GALERIE",851928465,"Autre commerce spécialisé","25 RUE MICHEL DE MONTAIGNE 31200 TOULOUSE","Philippe Lecussan",physique,"Président de SAS",1,2019-07-01,
"BQ C-H-R CONSULTING","BQ C-H-R CONSULTING",812290229,"Autre commerce spécialisé","34 AVENUE DE COURREGE 31400 TOULOUSE","Bruno Quattrocolo",physique,"Gérant",1,2015-06-01,
"BRIERE","BRIERE",993303155,"Autre commerce spécialisé","33 RUE DE LA COLOMBETTE 31000 TOULOUSE","Jérôme Briere",physique,"Président de SAS",1,2025-10-28,
"BRIGITTE ND TRESSES EXTENSIONS","",331710897,"Autre commerce spécialisé","6 RUE DE L'INDUSTRIE 31000 TOULOUSE","Brigitte Ndembo (ndembo)",physique,"",1,1985-02-05,
"BUCK'Y SHOP","",388352783,"Autre commerce spécialisé","7 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Charlotte Buckman (wilberforce)",physique,"",1,1992-07-01,
"BURO SERVICES","BURO SERVICES",419677463,"Autre commerce spécialisé","6 RUE PIERRE LAROUSSE 31400 TOULOUSE","Marc Salvia",physique,"Président de SAS",1,1998-07-01,
"C2 MARINE","C2 MARINE",320838550,"Autre commerce spécialisé","3 ALLEE MAURICE SARRAUT 31300 TOULOUSE","Cedric Chorlay",physique,"",1,1981-02-02,
"C2I MICRO","C2I MICRO (CONCEP-INGE INFORMAT-MICRO)",480056399,"Autre commerce spécialisé","4 RUE HENRI ZIEGLER 31300 TOULOUSE","Paulin Gbaboua",physique,"Gérant",1,2005-01-05,
"CAMELEON","CAMELEON",810724039,"Autre commerce spécialisé","14 RUE MAURICE FONVIEILLE 31000 TOULOUSE","RIMAN",morale,"Président de SAS",1,2015-04-01,501810279
"CAMELEON EN FETE","RAVIR SAS",425106929,"Autre commerce spécialisé","CENTRE COMMERCIAL GRAMONT 52 CHEMIN DE GABARDIE 31200 TOULOUSE","Rafael Marico",physique,"Président de SAS",1,1999-11-17,
"CANI CAT SERVICES","CANI CAT SERVICES",385231931,"Autre commerce spécialisé","137 CHEMIN DE BASSO CAMBO 31100 TOULOUSE","",,"",3,1992-03-15,
"CARDS COMPAGNY","CARDS COMPAGNY",400219580,"Autre commerce spécialisé","14 RUE DU TAUR 31000 TOULOUSE","Laurent Bourrillon",physique,"Gérant",1,1995-03-12,
"CARMEN","CARMEN",817448574,"Autre commerce spécialisé","60 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Master Chairam",physique,"Président de SAS",1,2016-01-02,
"CAROLE HABABOU","",392923652,"Autre commerce spécialisé","13 AVENUE DE LA GLOIRE 31500 TOULOUSE","Carole Hababou",physique,"",1,1994-01-01,
"CAROLIANE","CAROLIANE",513524405,"Autre commerce spécialisé","30 RUE THERON DE MONTAUGE 31200 TOULOUSE","SARL TRANSPARENCES",morale,"Président de SAS",2,2009-07-01,444796700
"CARPE DIEM","VPN",521088344,"Autre commerce spécialisé","18 RUE D'ASTORG 31000 TOULOUSE","Valerie Nguyen (goryl)",physique,"Gérant",1,2010-03-20,
"CARTE HELIX","",100646231,"Autre commerce spécialisé","15 AVENUE DES MAZADES 31200 TOULOUSE","Grégoire Petitjean",physique,"",1,2026-02-01,
"CASH COOL 31","CASH COOL 31",909284051,"Autre commerce spécialisé","22 RUE DES CHANGES 31000 TOULOUSE","Stephane Muller",physique,"Gérant",1,2022-01-14,
"CASIERS LOISIRS MOBILES","CASIERS LOISIRS MOBILES",808856173,"Autre commerce spécialisé","52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE","Sophie Chauveau",physique,"Président de SAS",1,2015-01-05,
"CHAOUKI LAYACHI","",418946166,"Autre commerce spécialisé","APPT 259 7 PLACE DU FER A CHEVAL 31300 TOULOUSE","Chaouki Layachi",physique,"",1,1998-06-01,
"CHIMBOK SHOP","CHIMBOK SHOP",844151043,"Autre commerce spécialisé","139 AVENUE DES MINIMES 31200 TOULOUSE","Nsimba Makumba",physique,"Président de SAS",1,2018-12-01,
"CIGARETTE ELECTRONIQUE DU TAUR","",390373504,"Autre commerce spécialisé","42 RUE DU TAUR 31000 TOULOUSE","Marie Nguyen",physique,"",1,1993-02-27,
"CIGARITUDE","CIGARITUDE",792469249,"Autre commerce spécialisé","24 PLACE DES CARMES 31000 TOULOUSE","Arnaud Berrogain",physique,"Gérant",1,2013-04-15,
"CITY OF TALENTS","CITY OF TALENTS",949306880,"Autre commerce spécialisé","6 RUE DES BRAVES 31300 TOULOUSE","Jean-claude Geraud",physique,"Gérant",1,2023-01-31,
"CITY-CASH-TOULOUSE","CITY-CASH-TOULOUSE",521314526,"Autre commerce spécialisé","23 RUE ARNAUD BERNARD 31100 TOULOUSE","",,"",1,2010-04-24,
"CLOPINETTE","ALI CLOP",789486420,"Autre commerce spécialisé","18 PL ESQUIROL 31000 TOULOUSE","Alisson Bazire",physique,"Gérant",2,2012-12-01,
"COCOTTE DELUXE","COCOTTE DELUXE",821791134,"Autre commerce spécialisé","4 RUE JEAN ANDRIEU 31500 TOULOUSE","Vanessa Crouzil (villarroel)",physique,"Gérant",1,2016-07-28,
"CODELL","CODELL",531096501,"Autre commerce spécialisé","43 RUE DE BAYARD 31000 TOULOUSE","Daniel Billard",physique,"Gérant",1,2011-03-14,
"COLLECTION CAPITOLE","COLLECTION CAPITOLE",453238503,"Autre commerce spécialisé","47 BOULEVARD DE STRASBOURG 31000 TOULOUSE","",,"",1,2004-04-19,
"COMEPRIMA","COMEPRIMA",344462353,"Autre commerce spécialisé","113 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Sylvie Bascoul",physique,"Gérant",1,1988-04-01,
"COMPAGNIE DU TOURISME ET DU PATRIMOINE (CTP)","COMPAGNIE DU TOURISME ET DU PATRIMOINE",448654624,"Autre commerce spécialisé","21 IMPASSE VARSOVIE 31300 TOULOUSE","Frederic Lopez",physique,"Gérant",3,2003-03-27,
"COMPTOIR DE L'ARGENT","COMPTOIR DE L'ARGENT",807940051,"Autre commerce spécialisé","5 PLACE SAINTES SCARBES 31000 TOULOUSE","Gilles Hervy",physique,"Président de SAS",1,2014-11-01,
"COMPTOIR DES ECRITURES SCRIPT INT'L","SARL ON TOP",351695515,"Autre commerce spécialisé","5 RUE DES GESTES 31000 TOULOUSE","Maria Polastron (becerril)",physique,"Gérant",1,1989-08-01,
"COMPTOIR TOULOUSAIN DES METAUX PRECIEUX (C.T.M.P.)","COMPTOIR TOULOUSAIN DES METAUX PRECIEUX",529766495,"Autre commerce spécialisé","76 ALLEES JEAN JAURES 31000 TOULOUSE","Georges Danicourt",physique,"Gérant",1,2011-01-01,
"CORTADE'ART","CORTADE'ART",522428135,"Autre commerce spécialisé","22 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Jean-claude Cortade",physique,"Gérant",1,2010-05-03,
"COULEURS D'ORIENT","COULEURS D'ORIENT",538509183,"Autre commerce spécialisé","12 RUE PARGAMINIERES 31000 TOULOUSE","Mustapha Ben lahbib",physique,"Gérant",1,2011-12-13,
"CREA'CONCEPT","CREA'CONCEPT",492801683,"Autre commerce spécialisé","IMMEUBLE ATRIA 8 ESPLANADE COMPANS CAFFARELLI 31000 TOULOUSE","",,"",1,2006-11-01,
"CROSSOVER","JAPAN MADNESS",898069190,"Autre commerce spécialisé","16 RUE DE METZ 31000 TOULOUSE","Thomas Briet",physique,"Gérant",2,2021-04-02,
"CURIOSITY ART","CURIOSITY ART",912170685,"Autre commerce spécialisé","14 RUE FONTENAY 31500 TOULOUSE","",,"",1,2022-02-01,
"DAM'DE PIC","",431474675,"Autre commerce spécialisé","22 RUE BUFFON 31100 TOULOUSE","Veronica Tolomeo",physique,"",1,2000-06-01,
"DANIEL KRAUS","",989570957,"Autre commerce spécialisé","9 RUE DALAYRAC 31000 TOULOUSE","Daniel Kraus",physique,"",1,2025-07-23,
"DANIELA RODARTE SILVA VILELA","",798815734,"Autre commerce spécialisé","2 B RUE JOLY 31000 TOULOUSE","Daniela Vidal (rodarte silva vilela)",physique,"",1,2013-09-02,
"DECO ZEN","DECO ZEN",489167650,"Autre commerce spécialisé","54 RUE LEON GAMBETTA 31000 TOULOUSE","",,"",1,2006-04-01,
"DEGRIFF'N MODE","CMG EXPANSION",789573763,"Autre commerce spécialisé","14 RUE TEMPONIERES 31000 TOULOUSE","Guillaume Abbas",physique,"Gérant",2,2012-12-01,
"DEIZMAT","DEIZMAT",508908399,"Autre commerce spécialisé","47 RUE DE LA COLOMBETTE 31000 TOULOUSE","",,"",1,2008-11-24,
"DELISMOKE","BCS",791132319,"Autre commerce spécialisé","17 RUE DES PUITS CLOS 31000 TOULOUSE","Benjamin Muller (muller)",physique,"Gérant",2,2013-02-12,
"DELIT D'INITIE(E)S","KAKTUS",821555257,"Autre commerce spécialisé","7 RUE CANTEGRIL 31000 TOULOUSE","Carl Rabot",physique,"Gérant",1,2016-07-01,
"DIDIER GARCIA","",513195289,"Autre commerce spécialisé","31 AVENUE JEAN RIEUX 31500 TOULOUSE","Didier Garcia",physique,"",1,2009-07-01,
"DINH & CO","DINH & CO",101990026,"Autre commerce spécialisé","62 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Clarisse Dinh (nguyen)",physique,"Président de SAS",1,2026-02-28,
"DISCREA (DISCREA)","DISCREA",812530509,"Autre commerce spécialisé","6 RUE BARONIE 31000 TOULOUSE","Cyril Marin",physique,"Président de SAS",2,2015-05-20,
"DISTINCTIO","DISTINCTIO",347660045,"Autre commerce spécialisé","373 ROUTE DE SAINT SIMON 31100 TOULOUSE","Jean Devilliers",physique,"Président de SAS",2,1988-07-15,
"DISTRIBUTION BUSINESS MARKETING (DBM)","DISTRIBUTION BUSINESS MARKETING",539454496,"Autre commerce spécialisé","52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE","",,"",1,2012-01-25,
"DOMINIQUE VINCENT (DELACROIX)","",380690982,"Autre commerce spécialisé","52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE","Dominique Vincent (delacroix)",physique,"",1,1991-01-01,
"DREAMVAPE31","DREAMVAPE31",999902232,"Autre commerce spécialisé","12 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Jérémy Delbreil",physique,"Gérant",1,2026-01-14,
"DRIMS 31","DRIMS 31",788773646,"Autre commerce spécialisé","12 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Dominique Rodriguez",physique,"Liquidateur",2,2012-10-01,
"DS AGENCY","DS AGENCY",523611325,"Autre commerce spécialisé","41 BOULEVARD DE THIBAUD 31100 TOULOUSE","Frederic Sellier (sellier)",physique,"Gérant",2,2010-07-07,
"DS MATERIAUX","DS MATERIAUX",882387277,"Autre commerce spécialisé","APT 58 41 AVENUE WINSTON CHURCHILL 31100 TOULOUSE","Sabire Bayrak (danisman)",physique,"Gérant",1,2020-04-01,
"E.MATHIEU","E.MATHIEU",421115817,"Autre commerce spécialisé","13 RUE CROIX BARAGNON 31000 TOULOUSE","Michel Andre",physique,"Gérant",1,1998-12-01,
"ECOPHONE  ECOPHONEMOBILES .....","ECOPHONE  ECOPHONEMOBILES .....",482968252,"Autre commerce spécialisé","6 RUE ROMIGUIERES 31000 TOULOUSE","",,"",1,2005-07-04,
"EDITIONS DE LA TRUELLE","AUTOGRAPHE & IMAGES",431918622,"Autre commerce spécialisé","20 RUE JACQUES LAFFITTE 31000 TOULOUSE","Monique Dumas",physique,"Liquidateur",3,2000-06-16,
"EIGHT BALL","OMEA",479553620,"Autre commerce spécialisé","52 RUE PHARAON 31000 TOULOUSE","Olivier Armengaud",physique,"Gérant",1,2004-09-02,
"ELASOLAR.FR","ELASOLAR.FR",951753078,"Autre commerce spécialisé","2 RUE DE ROYAN 31200 TOULOUSE","Antonio Minota sanchez",physique,"Président de SAS",1,2023-04-19,
"EMILE GARCIA","",385273594,"Autre commerce spécialisé","27 RUE DES CAPUCINES 31500 TOULOUSE","Emile Garcia",physique,"",2,1992-04-28,
"EPI HAUTE VISIBILITE","EPI CONCEPT",824540546,"Autre commerce spécialisé","22-24-ZONE DE THIBAUD 22 BOULEVARD DE THIBAUD 31100 TOULOUSE","Emira Belbachir",physique,"Président de SAS",3,2016-12-01,
"ETYO","YOKAYA",503402497,"Autre commerce spécialisé","27 RUE LEON GAMBETTA 31000 TOULOUSE","Yohann Gilbert",physique,"Gérant",2,2008-04-01,
"EURL D.C.T.","EURL D.C.T.",444412423,"Autre commerce spécialisé","4 RUE DU PUITS VERT 31000 TOULOUSE","David Coupet",physique,"Gérant",1,2002-12-16,
"EURL JFB","EURL JFB",412633216,"Autre commerce spécialisé","49 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,1997-07-01,
"EUROSTORES","",413514050,"Autre commerce spécialisé","13 RUE SAINT FERREOL 31000 TOULOUSE","Patricia Assoun",physique,"",1,1997-06-28,
"EV9","EV9",948788146,"Autre commerce spécialisé","21 RUE DE REMUSAT 31000 TOULOUSE","Matthieu Deckert",physique,"Président de SAS",2,2023-01-12,
"EVOVAP","EVOVAP II",803014190,"Autre commerce spécialisé","37 RUE DE LA COLOMBETTE 31000 TOULOUSE","Laurent Vielle",physique,"Président de SAS",2,2014-07-18,
"EXOSTAR","STAR DISTRIBUTION",428693295,"Autre commerce spécialisé","38 RUE DE LA REPUBLIQUE 31300 TOULOUSE","",,"",1,2000-01-03,
"F F C I","F F C I",530307529,"Autre commerce spécialisé","352 ROUTE DE LAUNAGUET 31200 TOULOUSE","Armelle Fresneau",physique,"Gérant",1,2011-02-14,
"FABIEN LASNIER","",432726685,"Autre commerce spécialisé","18 RUE CHRISTINE DE PISAN 31200 TOULOUSE","Fabien Lasnier",physique,"",1,2000-06-01,
"FABIENNE JOLLY","",448834861,"Autre commerce spécialisé","20 RUE DES CHANGES 31000 TOULOUSE","Fabienne Jolly",physique,"",1,2003-06-16,
"FERRER-AP","FERRER-AP",531772077,"Autre commerce spécialisé","28 RUE HENRI MATISSE 31200 TOULOUSE","Alain Pelissier",physique,"Gérant",2,2011-04-15,
"FIFI JOLIPOIS","LEA2D TLS",523883262,"Autre commerce spécialisé","11 RUE CUJAS 31000 TOULOUSE","Lea Dunogue",physique,"Président de SAS",1,2010-06-28,
"FISH IMPORT","FISH IMPORT",498707322,"Autre commerce spécialisé","46 A 48 46 RUE ANDRE VASSEUR 31200 TOULOUSE","",,"",1,2007-06-18,
"FRANCE TOMBALE","FRANCE TOMBALE",821594850,"Autre commerce spécialisé","HELIOS 2 - BOITES AUX LETTRES 207 116 ROUTE D'ESPAGNE 31100 TOULOUSE","CORNUCOPIA",morale,"",1,2016-07-18,991210618
"FREDERIC CHUMBO","",807901814,"Autre commerce spécialisé","82 RUE DES FONTAINES 31300 TOULOUSE","Frederic Chumbo",physique,"",1,2014-11-24,
"FRENCH OLYMPIC INTERNATIONAL ART AUCTION COMPANY SARL","FRENCH OLYMPIC INTERNATIONAL ART AUCTION COMPANY SARL",983286337,"Autre commerce spécialisé","BUREAU 3 5 IMPASSE DE LA COLOMBETTE 31000 TOULOUSE","Hai Yu",physique,"Gérant",1,2024-01-05,
"FUME E LIBRE","FUME E LIBRE",801653387,"Autre commerce spécialisé","147 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","",,"",1,2014-04-15,
"GALERIE BAYARD","GALERIE BAYARD",379635683,"Autre commerce spécialisé","33 RUE DE BAYARD 31000 TOULOUSE","",,"",1,1990-09-01,
"GALERIE DUTILLEUL","SAS DUTILLEUL",309835908,"Autre commerce spécialisé","14 PL ESQUIROL 31000 TOULOUSE","Josiane Dutilleul (vezes)",physique,"Président de SAS, Directeur Général",1,1974-01-01,
"GALERIE FABRICE GALVANI","GALERIE FABRICE GALVANI",511577603,"Autre commerce spécialisé","46 RUE DU LANGUEDOC 31000 TOULOUSE","Fabrice Galvani",physique,"Gérant",1,2009-03-03,
"GALERIE GRAAL","GRAAL",403899933,"Autre commerce spécialisé","39 RUE DE METZ 31000 TOULOUSE","Didier Peslier (peslier)",physique,"Gérant",1,1996-03-15,
"GALERIE OCTOBRE","",827455536,"Autre commerce spécialisé","ETG RDC GALERIE 6 6 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Sophie Salles-cazeaux",physique,"",1,2017-02-07,
"GALERIE SAINBT-ETIENNE","GALERIE SAINBT-ETIENNE",100494251,"Autre commerce spécialisé","4 PLACE SAINT ETIENNE 31000 TOULOUSE","Christel Majeste",physique,"Gérant",1,2026-02-15,
