name,address,quartier,category,naf,phone,website,email,email_source,score,dirigeant
Délit d'Initié(e)s,"7 rue Cantegril, 31000 Toulouse",Carmes / centre-ville,bijouterie,47.78C,,,,,,
Trésor Secret,"16 rue d'Alsace Lorraine, 31000 Toulouse",Capitole / centre-ville,bijouterie,47.78C,,,,,,
L'Atelier d'Amaya (rue Saint-Antoine),"22 rue Saint-Antoine du T, 31000 Toulouse",Saint-Antoine / centre-ville,bijouterie / joaillerie,47.72B,,,,,,
Vingt et un Grammes,"28 rue des Arts, 31000 Toulouse",Rue des Arts / centre-ville,bijouterie / joaillerie,47.77Z,,,,,,
Marc Deloche Toulouse,"9 rue Antonin Mercié, 31000 Toulouse",Saint-Georges / centre-ville,bijouterie,47.77Z,,,,,,
Piery Bijouterie,"51 rue du Rempart Saint-Etienne, 31000 Toulouse",Saint-Etienne,bijouterie,47.77Z,,,,,,
Thomas Sabo (Galeries Lafayette),"4-8 rue Lapeyrouse, 31000 Toulouse",Capitole / Galeries Lafayette,bijouterie,,,,,,,
AGATHA Paris (Galeries Lafayette Toulouse),"4-8 rue Lapeyrouse, 31000 Toulouse",Capitole / Galeries Lafayette,bijouterie,47.78C,,,,,,
Mauboussin Toulouse (Saint-Antoine),"13 rue Saint-Antoine du T, 31000 Toulouse",Saint-Antoine / centre-ville,joaillerie,47.77Z,,,,,,
Gemmyo Toulouse,"36 rue Boulbonne, 31000 Toulouse",Carmes / centre-ville,joaillerie,47.77Z,,,,,,
Bijouterie Mohedano,"46 rue des Tourneurs, 31000 Toulouse",Carmes / Saint-Cyprien,joaillerie,47.77Z,,,,,,
Joaillerie Zeina,"4 rue des Arts, 31000 Toulouse",Rue des Arts / centre-ville,joaillerie,,,,,,,
Lovisa Toulouse,"12 rue d'Alsace Lorraine, 31000 Toulouse",Capitole / centre-ville,bijouterie fantaisie,47.78C,,,,,,
Longchamp Toulouse,"9 rue de la Pomme, 31000 Toulouse",Capitole / centre-ville,maroquinerie,47.72B,,,,,,
Linea Moda,"31 rue Saint-Rome, 31000 Toulouse",Saint-Rome / centre-ville,maroquinerie,47.72B,05 61 21 32 XX / +33 6 52 86 33 00,,,,,
Mac Douglas Toulouse,"proche rue de la Pomme, 31000 Toulouse",Capitole / centre-ville,maroquinerie,47.71Z,,,,,80,
Centrale de Chaussures (Bailly Chausseur),"9 rue Rivals, 31000 Toulouse",Victor Hugo / centre-ville,chaussures,47.72A,05 61 22 54 48,,,,,
Art Tea Shop,"37 rue des Lois, 31000 Toulouse",Centre-ville,concept store / bijoux / accessoires,,06 73 85 97 50,,,,,
Rétropolis,"35 rue de la République, 31300 Toulouse",Saint-Cyprien,vintage / accessoires,,,,,,,
Bijouterie Le Donjon Rouffiac,"C. Cial Rouffiac, Route d'Albi, 31180 Rouffiac-Tolosan",Rouffiac-Tolosan (proche Toulouse NE),bijouterie,47.77Z,,,,,,
La Bagagerie Toulouse,Toulouse centre (adresse exacte à confirmer),Centre-ville,maroquinerie / bagagerie,,,,,,,
Vanessa Bruno Toulouse,Toulouse centre (adresse exacte à confirmer),Centre-ville,maroquinerie / prêt-à-porter,,,,,,,
Maroquinerie Lafarge Toulouse,Toulouse (adresse exacte à confirmer),Centre-ville,maroquinerie,47.72B,,,,,,
Louis Vuitton Toulouse,"39 rue Croix Baragnon, 31000 Toulouse",Carmes / centre-ville,maroquinerie / luxe,47.72B,,,,,,
Sacs & Accessoires By E.L.L,Toulouse (adresse exacte à confirmer),Centre-ville,maroquinerie / accessoires,,,,,,,
Fab & Co Toulouse,Toulouse (adresse exacte à confirmer),Centre-ville,maroquinerie / accessoires,,,,,,,
Les Trésors de Liza,Toulouse (adresse exacte à confirmer),Centre-ville,maroquinerie / accessoires,,,,,,,
Hermes Toulouse,Toulouse centre-ville (adresse exacte à confirmer),Centre-ville / axe luxe,maroquinerie / luxe,,,,,,,
Chaussures Fournier (Rue Alsace Lorraine),"77 rue d'Alsace Lorraine, 31000 Toulouse",Capitole / centre-ville,chaussures,,,,,,,
Bleu Cerise Toulouse,Toulouse (adresse exacte à confirmer),Centre-ville,maroquinerie / accessoires,47.72B,,,,,,
Modi In,"36 Rue d'Alsace Lorraine, 31000 Toulouse",,Mode / prêt-à-porter / chaussures,47.72A,05 61 12 22 12,,,,,
