name,address,quartier,category,naf,phone,website,email,email_source,score,dirigeant
Fioko.shop - Passage Choiseul,"38 Pass. Choiseul 20, 75002 Paris",,Boutique de cadeaux,,+33 6 25 77 85 89,https://fioko.shop/,fiokoshop@gmail.com,outscraper-gmaps,,
FitnessBoutique Toulouse Balma,"155 Av. Jean Chaubet, 31500 Toulouse",,Magasins d'appareil de fitness,,+33 5 61 45 52 67,https://www.fitnessboutique.fr/pages/fitnessboutique-toulouse-balma,rgpd@planet-fitness.com,outscraper-gmaps,,
FitnessBoutique Toulouse Lascrosses,"22 Bd Lascrosses, 31000 Toulouse",,Magasins d'appareil de fitness,,+33 5 62 27 22 30,https://www.fitnessboutique.fr/pages/fitnessboutique-toulouse-lascrosses,valentin.laforge@netquattro.com,outscraper-gmaps,,
Flying Tiger Copenhagen Paris Rambuteau,"72 Rue Rambuteau, 75001 Paris",,Boutique de cadeaux,,+33 9 62 52 62 58,https://flyingtiger.com/pages/store-locator%3Futm_source%3DGoogle%26utm_medium%3DStore%2BLocator%2BTraffic%26utm_campaign%3DUberall%26utm_id%3DUberall%23!/l/fr/paris/72-rue-rambuteau/fr04005,johnny@thobias.dk,outscraper-gmaps,,
FNAC Paris - Saint-Lazare,"Passage du Havre, 109 Rue Saint-Lazare, 75009 Paris",,Grand magasin,,+33 825 02 00 20,https://www.fnac.com/Paris-Saint-Lazare/Fnac-Saint-Lazare/cl72/w-4%3Futm_source%3Dgmb,pedro.mata@fnac.pt,outscraper-gmaps,,
FNAC Paris - Ternes,"26/30 Av. des Ternes, 75017 Paris",,Grand magasin,,+33 825 02 00 20,https://www.fnac.com/Paris-Ternes/Fnac-Ternes/cl71/w-4%3Futm_source%3Dgmb,service.collectivite@fnac.com,outscraper-gmaps,,
Foot Locker,"52-54 Rue Saint-Rome, 31000 Toulouse",,Magasin de chaussures,,+33 5 82 28 06 75,https://stores.footlocker.fr/fr/fr-55/toulouse/52-54-rue-saint-rome-230_31_05130.html,customercare@footlocker.com,outscraper-gmaps,,
Foulées Toulouse Balma,"90 Chem. de Gabardie, 31200 Toulouse",,Magasin d'articles de sports,,+33 5 61 52 11 41,https://foulees.com/-balma-,33merignac@foulees.com,outscraper-gmaps,,
Frayssinet Joaillier Capitole,"73 Rue de la Pomme, 31000 Toulouse",,Bijoutier,,+33 5 61 53 99 04,http://www.frayssinet-joaillier.fr/,contact@frayssinet-joaillier.fr,outscraper-gmaps,,
Gabor Shop - Toulouse,"54 Rue d'Alsace Lorraine, 31000 Toulouse",,Magasin de chaussures,,+33 5 62 30 09 62,http://www.gabor-shop.fr/,tech@202-ecommerce.com,outscraper-gmaps,,
Gabriel Joaillier,"27 Bd de Strasbourg, 31000 Toulouse",,Bijoutier,,+33 9 73 54 89 43,https://www.gabriel-joaillier.com/,contact@gabriel-joaillier.com,outscraper-gmaps,,
Galeries Lafayette Toulouse,"4-8 Rue Lapeyrouse, 31000 Toulouse",,Grand magasin,,+33 5 34 45 98 98,https://www.galerieslafayette.com/magasin-toulouse-lapeyrouse/%3Futm_campaign%3Dtoulouse_lapeyrouse%26utm_medium%3Dgmb%26utm_source%3Dgoogle,bfontenas@galerieslafayette.com,outscraper-gmaps,,
Gants Veber - 1000 gants,"260 Rue Saint-Honoré, 75001 Paris",,Magasin de maroquinerie,,+33 1 42 97 52 92,https://www.1000gants.com/,maroquinerie.veber@orange.fr,outscraper-gmaps,,
Gemmes... & Vous,"5 Rue du Tourmalet, 31500 Toulouse",,Bijouterie,,+33 6 63 61 57 16,https://gemmesetvous.com/,contact@parenthese-toulou-zen.fr,outscraper-gmaps,,
Gibert,"15-17 Bd Barbès, 75018 Paris",,Librairie,,+33 1 53 09 35 15,https://www.gibert.com/stores/paris-xviii-gibert-joseph-librairie-papeterie-musique-video,service.client@gibert.com,outscraper-gmaps,,
Ginkgo & Paon Curiosités,"1 Pl. Roger Salengro, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 9 81 83 33 59,http://www.ginkgoetpaon.com/,ginkgoetpaon@gmail.com,outscraper-gmaps,,
Go Into Life Sports,"45 Rte de Narbonne, 31400 Toulouse",,Magasin d'articles de sports,,+33 9 61 27 37 12,https://www.gointolife.com/,contact.gointolife@gmail.com,outscraper-gmaps,,
Hadrien Boulogne,"10 Bd Jean Jaurès, 92100 Boulogne-Billancourt",,Boutique d'accessoires de mode,,+33 9 54 43 49 80,https://hadrien-boulogne.com/,hadrienboulogne@gmail.com,outscraper-gmaps,,
HANDY CHAUSSURES HOMME,"4 Rue de la Pomme, 31000 Toulouse",,Magasin de chaussures,,+33 5 62 84 89 08,http://maisonhandy.com/,serviceclient@maisonhandy.com,outscraper-gmaps,,
Harold,"32 Rue des Blancs Manteaux, 75004 Paris",,Magasin de vêtements pour hommes,,+33 1 44 54 35 10,https://www.harold-paris.com/,contact@harold-paris.com,outscraper-gmaps,,
HEMA,"118 Rue Rambuteau, 75001 Paris",,Grand magasin,,+33 1 45 08 09 27,http://www.hema.com/,ardjanschinkelshoek@hotmail.com,outscraper-gmaps,,
Histoire d'Or,"17 Rue d'Alsace Lorraine, 31000 Toulouse",,Bijouterie,,+33 5 34 45 19 85,https://www.histoiredor.com/fr_FR/details/magasin/%3FstoreID%3DH188,amarques@thomeurope.com,outscraper-gmaps,,
Intersport TOULOUSE GRAMONT,"CC Gramont, 2 Chem. de Gabardie, 31200 Toulouse",,Magasin de vêtements de sport,,+33 5 32 93 10 10,https://www.intersport.fr/Haute-Garonne-31/Toulouse-31200/INTERSPORT-TOULOUSEGRAMONT/04969_000/,intersport.digne@orange.fr,outscraper-gmaps,,
Intersport Toulouse Purpan,"35-54 Rte de Bayonne, 31300 Toulouse",,Magasin de vêtements de sport,,+33 5 34 50 89 70,https://www.intersport.fr/-/TOULOUSEPURPAN-31300/INTERSPORT-TOULOUSE-Purpan/00832_000/,marie@intersport-tignes.fr,outscraper-gmaps,,
i-Run Toulouse Centre,"17 Pl. Olivier, 31300 Toulouse",,Magasin d'articles de sports,,+33 5 61 42 30 51,https://www.i-run.fr/magasins/toulouse/toulouse-centre.html,coignieres@alltricks.com,outscraper-gmaps,,
i-Run Toulouse Sesquières,"12 Chem. de Fenouillet, 31200 Toulouse",,Magasin d'articles de sports,,+33 9 72 43 58 49,https://www.i-run.fr/magasins/toulouse/toulouse-sesquieres.html,celya@i-run.fr,outscraper-gmaps,,
JB Rodde Toulouse,"56 Rue de Metz, 31000 Toulouse",,Magasin de chaussures,,+33 5 61 14 16 37,https://www.jbrodde.fr/,jetbrodde@free.fr,outscraper-gmaps,,
JD Sports,"32 Rue Saint-Rome, 31000 Toulouse",,Magasin de vêtements de sport,,+33 5 32 11 18 06,https://www.jdsports.fr/%3Futm_campaign%3D1131%26utm_source%3Dgoogle%2Blistings%26utm_medium%3Dorganic%26y_source%3D1_OTAwOTE4MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,ensavoirplus@jdsports.com,outscraper-gmaps,,
Jérôme Dreyfuss,"4 Rue Jacob, 75006 Paris",,Magasin de maroquinerie,,+33 1 56 81 85 30,http://www.jerome-dreyfuss.com/,eshop@jerome-dreyfuss.com,outscraper-gmaps,,
Jérôme Dreyfuss,"9 Rue Guichard, 75016 Paris",,Magasin de maroquinerie,,+33 1 40 50 82 15,http://www.jerome-dreyfuss.com/,info@jerome-dreyfuss.com,outscraper-gmaps,,
Joaillerie Artisanale Dirty French Girl,"32 Rue des Polinaires, 31000 Toulouse",,Joaillier,,,http://www.dirtyfrenchgirl.com/,info@dirtyfrenchgirl.com,outscraper-gmaps,,
Joaillerie Zeina Toulouse,"4 Rue des Arts, 31000 Toulouse",,Joaillier,,+33 5 82 95 09 00,https://www.zeina-alliances.com/pages/boutique/toulouse%3Futm_source%3Dgooglebusinessprofile%26utm_medium%3Dorganic%26utm_campaign%3Dtoulouse,serviceclient@zeina.fr,outscraper-gmaps,,
Jonak,"11 Pl. du Président Thomas Wilson, 31000 Toulouse",,Magasin de chaussures,,+33 5 36 47 13 54,https://www.jonak.fr/nos-boutiques/jonak-toulouse-wilson_toulouse_31000/126.html,bruno.paillard@jonak.fr,outscraper-gmaps,,
JouéClub,"4 Rue Saint-Ferdinand, 75017 Paris",,Magasin de jouets,,+33 1 45 74 48 41,https://www.joueclub.fr/magasin/joueclub-paris-17.html,daniel.topper@cdiscount.com,outscraper-gmaps,,
Julien d'Orcel,"c. ccial carrefour, 36 Rte de Bayonne, 31300 Toulouse",,Bijouterie,,+33 5 61 49 99 97,https://www.juliendorcel.com/bijouterie/toulouse-1510M,contact@juliendorcel.com,outscraper-gmaps,,
KDC TOULOUSE,"9 Rue de Bayard, 31000 Toulouse",,Boutique de produits de nutrition sportive,,+33 9 73 88 29 72,https://www.facebook.com/KDCToulouse/,j.pages@kdctoulouse.com,outscraper-gmaps,,
KILOMÈTRES DEHORS - KM DEHORS,"31 Rue Valade, 31000 Toulouse",,cafés,,+33 5 31 61 26 94,https://www.kmdehors.com/,contact@kmdehors.fr,outscraper-gmaps,,
King Jouet Paris Gaîté Montparnasse,"Centre commercial Les ateliers, Rue de la Gaité, 75014 Paris",,Magasin de jouets,,+33 1 89 40 41 15,https://www.king-jouet.com/magasins/75-Paris/magasin-PARIS-0284.htm,gaelle.corbeau@king-jouet.fr,outscraper-gmaps,,
King Jouet Paris Rivoli,"146 Rue de Rivoli, 75001 Paris",,Magasin de jouets,,+33 1 86 90 58 91,https://www.king-jouet.com/magasins/75-Paris/magasin-PARIS-0266.htm,service-clients@king-jouet.fr,outscraper-gmaps,,
Kolector Toulouse,"5 Rue Baronie, 31000 Toulouse",,Magasin de chaussures,,+33 5 61 29 88 30,https://kolector.fr/,contact@kolector.fr,outscraper-gmaps,,
La Chaise Longue,"1 Rue Saint-Rome, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 9 71 49 80 79,http://www.lachaiselongue.fr/,hello@chaiselongue.com,outscraper-gmaps,,
L'Acrobate,"19 Rue Houdon, 75018 Paris",,Magasin de jouets,,+33 1 42 51 77 84,https://www.facebook.com/lacrobateenfants,lacrobateparis@gmail.com,outscraper-gmaps,,
La Fabrica,"13 Pl. Intérieure Saint-Cyprien, 31300 Toulouse",,Magasin de vêtements de sport,,+33 5 61 40 81 73,http://www.fabricadebigote.com/,fabricadebigote@gmail.com,outscraper-gmaps,,
La Grande Récré PARIS - BEAUGRENELLE,"38 Rue Linois, 75015 Paris",,Magasin de jouets,,+33 1 45 78 11 06,https://www.lagranderecre.fr/magasins/beaugrenelle.html,rgpd@ludendo.com,outscraper-gmaps,,
La Librairie.,"9 Rue Alexandre Falguière, 31000 Toulouse",,Librairie,,+33 5 61 73 74 89,https://lalibrairietoulouse.com/,contact@lalibrairietoulouse.com,outscraper-gmaps,,
La librairie Canopé,"13 Rue du Four, 75006 Paris",,Librairie,,+33 800 00 82 12,https://www.reseau-canope.fr/la-librairie-canope.html,nathalie.ramassamy@reseau-canope.fr,outscraper-gmaps,,
La Librairie du Canal,"3 Rue Eugène Varlin, 75010 Paris",,Librairie,,+33 1 42 08 72 78,http://www.lalibrairieducanal.fr/,lalibrairieducanal@gmail.com,outscraper-gmaps,,
La loge du concierge,"14 Rue du Languedoc, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 6 35 92 95 78,https://www.lalogeduconcierge.com/,lalogeduconcierge@gmail.com,outscraper-gmaps,,
La Maison de la Bible Paris,"4 Rue Audubon, 75012 Paris",,Librairie chrétienne,,+33 1 43 26 80 53,https://paris.maisonbible.fr/,paris@maisonbible.net,outscraper-gmaps,,
La Maison de Malaure,"37 Rue de Metz, 31000 Toulouse",,Magasin d'ameublement et de décoration,,+33 5 34 30 73 89,https://www.lamaisondemalaure.fr/,e.lamaisondemalaure@gmail.com,outscraper-gmaps,,
Lancaster,"422 Rue Saint-Honoré, 75008 Paris",,Magasin de maroquinerie,,+33 1 42 28 88 88,https://www.lancaster.com/,tulipsangel@earthlink.net,outscraper-gmaps,,
La Papéthèque,"26 Rue Soufflot, 75005 Paris",,Papeterie,,+33 1 43 54 14 89,http://la-papetheque-enligne.com/,contact@la-papetheque-enligne.com,outscraper-gmaps,,
LA PETITE ÉTOILE Paris - Rue Bachaumont,"7 Rue Bachaumont, 75002 Paris",,Boutique d'articles de mode,,+33 1 40 13 99 90,http://www.lapetiteetoile.com/,eshop@lapetiteetoile.com,outscraper-gmaps,,
L'Arbre Enchanté,"40 Rue du Château d'Eau, 75010 Paris",,Magasin de jouets,,+33 1 42 06 17 49,http://larbreenchante.fr/,contact@larbreenchante.fr,outscraper-gmaps,,
L'Art de la Joie,"142 Rue St Charles, 75015 Paris",,Librairie,,+33 1 45 78 92 95,https://happybabyparis.fr/,contact@happybabyparis.fr,outscraper-gmaps,,
L'Atelier d'Amaya,"22 Rue Saint-Antoine du T, 31000 Toulouse",,Bijouterie,,+33 5 34 67 43 10,https://www.atelier-amaya.com/,contact@latelierdamaya.com,outscraper-gmaps,,
LAUJOA,"23 Rue Croix Baragnon, 31000 Toulouse",,Joaillier,,+33 9 74 97 20 17,https://laujoa.com/,contact@laujoa.com,outscraper-gmaps,,
Le Bon Marché Rive Gauche,"24 Rue de Sèvres, 75007 Paris",,Grand magasin,,+33 1 44 39 80 00,https://www.lebonmarche.com/,elefebvre@lebonmarche.fr,outscraper-gmaps,,
